first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,id,full_name
Marouane,Fellaini,1,0,48,1604,14,281.9,299.0,333,0,259,90.9,10,1,8,0.3,257,Marouane Fellaini
Memphis,Depay,0,0,3,24,1,1.8,1.2,4,0,6,0.7,0,0,1,0.2,258,Memphis Depay
Michael,Carrick,0,0,42,1601,14,209.3,288.0,48,0,297,54.5,5,0,2,1.7,259,Michael Carrick
Ashley,Young,0,1,26,760,6,167.0,147.4,61,1,154,37.6,4,0,2,0.1,260,Ashley Young
Adnan,Januzaj,0,3,49,1628,38,470.8,226.2,364,0,158,106.4,3,1,3,0.5,261,Adnan Januzaj
Ander,Herrera,1,6,97,2465,18,720.8,593.2,276,11,559,159.2,13,1,5,2.2,262,Ander Herrera
Andreas,Pereira,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,263,Andreas Pereira
Morgan,Schneiderlin,1,0,37,1073,14,112.3,216.2,90,1,214,42.0,5,0,2,0.4,264,Morgan Schneiderlin
Bastian,Schweinsteiger,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.1,265,Bastian Schweinsteiger
Jesse,Lingard,1,3,60,1360,12,522.3,229.4,439,3,227,118.0,7,0,3,0.8,266,Jesse Lingard
Anthony,Martial,4,6,95,1553,13,399.1,382.8,579,9,302,136.2,9,0,2,2.5,267,Anthony Martial
Henrikh,Mkhitaryan,4,1,73,1348,8,512.2,325.8,427,3,279,126.2,10,0,1,2.1,268,Henrikh Mkhitaryan
Wayne,Rooney,5,5,76,1540,16,593.8,394.2,616,9,322,160.2,6,0,8,2.4,269,Wayne Rooney
James,Wilson,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.1,270,James Wilson
Marcus,Rashford,5,3,76,1712,15,411.4,316.2,734,2,287,145.5,7,0,3,10.6,271,Marcus Rashford
Zlatan,Ibrahimovic,17,7,163,2438,22,775.0,807.8,1694,28,540,327.3,11,0,7,22.8,272,Zlatan Ibrahimovic
Dimitrios,Konstantopoulos,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.1,273,Dimitrios Konstantopoulos
Víctor,Valdés,0,0,102,2520,36,0.3,607.6,2,10,493,61.0,8,0,1,4.3,274,Víctor Valdés
Daniel,Ayala,1,0,31,918,16,10.4,220.8,166,0,174,39.8,3,0,3,0.1,275,Daniel Ayala
George,Friend,0,3,59,1964,35,169.1,436.0,213,6,371,82.0,4,0,4,1.8,276,George Friend
Dael,Fry,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.5,277,Dael Fry
Ben,Gibson,1,1,121,3420,53,55.7,818.4,248,14,682,112.2,11,0,4,8.8,278,Ben Gibson
Emilio,Nsue Lopez,0,0,10,320,5,31.9,47.6,38,0,49,11.9,1,0,0,0.2,279,Emilio Nsue Lopez
Bernardo,Espinosa Zúñiga,0,0,35,975,13,10.0,224.8,39,3,198,27.4,4,0,2,0.1,280,Bernardo Espinosa Zúñiga
Albert,Adomah,0,0,3,122,2,20.5,8.4,33,0,6,6.0,0,0,0,0.0,281,Albert Adomah
Stewart,Downing,1,3,77,2214,39,566.9,324.6,283,3,364,117.7,7,0,1,0.4,282,Stewart Downing
Adam,Clayton,0,2,70,2804,45,323.3,454.6,71,0,427,84.8,10,0,10,0.8,283,Adam Clayton
Grant,Leadbitter,1,0,28,710,12,139.9,93.4,88,1,125,31.9,3,0,1,0.0,284,Grant Leadbitter
Adam,Reach,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,285,Adam Reach
Adam,Forshaw,0,2,77,2695,36,511.6,275.6,240,3,401,102.5,9,0,4,0.4,286,Adam Forshaw
Carlos,De Pena,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.2,287,Carlos De Pena
Julien,de Sart,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,288,Julien de Sart
Viktor,Fischer,0,3,25,438,6,121.7,82.6,165,0,91,37.0,1,0,0,0.2,289,Viktor Fischer
Marten,de Roon,4,1,91,2773,44,245.8,370.6,390,5,399,100.1,8,0,8,1.8,290,Marten de Roon
David,Nugent,0,0,4,43,0,3.3,3.4,2,0,11,0.7,0,0,0,0.2,291,David Nugent
Jordan,Rhodes,0,0,8,211,2,28.0,21.6,104,0,21,15.4,0,0,0,0.2,292,Jordan Rhodes
Cristhian,Stuani,4,0,54,1355,15,132.4,224.0,430,4,203,78.3,4,0,4,2.4,293,Cristhian Stuani
Fraser,Forster,0,0,134,3420,48,10.0,553.6,0,4,625,56.4,14,0,3,5.0,294,Fraser Forster
Paulo,Gazzaniga,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,295,Paulo Gazzaniga
Ryan,Bertrand,2,5,123,2507,36,442.4,517.4,255,9,575,121.5,12,0,3,3.9,296,Ryan Bertrand
Jose,Fonte,0,0,98,2934,46,128.0,654.4,221,10,592,100.2,11,0,4,3.2,297,Jose Fonte
Maya,Yoshida,1,1,78,2070,32,62.8,532.6,277,8,469,87.5,7,0,2,5.9,298,Maya Yoshida
Matt,Targett,0,0,12,373,4,87.9,64.6,12,0,80,16.5,1,0,0,0.2,299,Matt Targett
Florin,Gardos,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.1,300,Florin Gardos
