full_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,id
Florent Hadergjonaj,0,1,51,1670,28,381.8,310.0,95.0,5,274,78.8,4,0,3,0.1,521
Florian Lejeune,0,2,66,2103,32,92.3,557.0,139.0,6,406,78.9,5,0,3,0.9,294
Fousseni Diabaté,0,1,21,579,12,130.8,98.6,67.0,0,72,29.7,0,0,1,0.1,601
Francisco Femenía Far,1,1,65,1709,34,302.8,327.2,113.0,9,389,74.5,5,0,2,1.4,407
Fraser Forster,0,0,207,5220,78,10.0,1041.8,0.0,10,976,105.3,18,0,3,8.9,600
Gabriel Fernando de Jesus,20,11,193,2311,17,526.2,939.4000000000001,1525.0,30,731,297.8,12,0,8,31.8,884
Gary Cahill,6,0,252,5378,56,156.4,1328.2,499.0,17,1225,198.70000000000002,26,1,6,18.3,176
Gaëtan Bong,0,0,63,2237,36,154.6,346.2,18.0,5,369,52.1,6,0,2,0.2,59
Georges-Kévin Nkoudou,0,0,19,277,2,57.0,43.0,67.0,0,46,16.4,1,0,1,0.0,957
Georginio Wijnaldum,7,11,234,5355,60,1050.7,990.2,1038.0,15,1056,308.4,26,0,3,3.9000000000000004,717
Gerard Deulofeu,1,1,38,893,9,292.1,147.0,239.0,3,140,67.8,2,0,1,1.2000000000000002,750
Glenn Murray,12,0,111,2184,36,271.8,492.4,779.0,16,319,153.1,8,0,9,5.7,71
Grady Diangana,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,636
Granit Xhaka,3,11,194,5742,82,1449.0,1242.2,571.0,10,1099,326.1,22,2,15,10.2,47
Guido Carrillo,0,1,15,449,8,64.2,50.2,179.0,0,40,29.4,1,0,0,0.0,607
Gylfi Sigurdsson,13,17,277,5584,110,1917.6,1391.0,1511.0,26,1080,482.3,13,0,4,12.700000000000001,727
Hamza Choudhury,0,1,13,375,9,20.2,68.0,16.0,0,60,10.4,0,0,1,0.0,571
Harry Arter,2,4,111,3915,75,609.1,628.0,412.0,6,669,164.6,12,1,15,0.6,76
Harry Kane,58,9,441,5597,53,1050.5,2493.4,3885.0,64,1701,743.4,29,0,8,61.0,797
Harry Maguire,4,7,188,5727,113,411.5,1663.4,917.0,15,1199,299.4,13,0,12,11.700000000000001,351
Harry Winks,1,2,61,1262,15,294.29999999999995,272.4,91.0,0,308,65.9,4,0,1,0.1,904
Harvey Barnes,0,0,3,8,0,1.0,0.2,6.0,0,8,0.6,0,0,0,0.0,642
Henrikh Mkhitaryan,7,10,180,3060,25,1240.0,832.6,827.0,12,690,290.0,22,0,3,9.6,549
Heung-Min Son,26,17,352,4355,36,1230.5,1479.1999999999998,2338.0,29,1056,504.7,24,0,2,25.0,792
Heurelho Gomes,0,0,177,5465,104,10.2,1291.4,0.0,10,1075,130.0,12,0,1,2.9,804
Hugo Lloris,0,0,287,6244,59,20.1,1391.0,2.0,12,1359,141.0,30,0,1,17.200000000000003,755
Håvard Nordtveit,0,1,31,957,20,63.3,155.4,43.0,0,160,26.1,3,0,2,0.1,465
