full_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,id
Terence Kongolo,0,0,30,1047,14,52.2,268.0,47.0,2,182,36.7,2,0,0,0.0,591
Theo Walcott,13,6,184,3130,43,515.4,858.4,1429.0,10,606,280.0,12,0,3,6.300000000000001,28
Thibaud Verlinden,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,599
Thibaut Courtois,0,0,277,6390,62,0.0,1066.6,0.0,4,1258,107.2,31,0,3,24.4,167
Thomas Edwards,0,0,6,481,15,23.0,93.4,10.0,0,81,12.7,0,0,0,0.3,1204
Thomas Robson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,537
Tiemoué Bakayoko,2,2,77,2121,24,279.5,415.4,434.0,5,346,113.2,11,1,3,1.2,463
Tim Krul,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.8,540
Timothy Fosu-Mensah,0,0,48,1689,29,106.60000000000001,339.40000000000003,51.0,3,315,49.8,3,0,2,1.2,522
Toby Alderweireld,1,0,163,3778,30,170.0,867.5999999999999,413.0,7,858,145.39999999999998,19,0,4,14.6,759
Tokelo Rantie,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,50
Tom Carroll,1,6,137,3951,57,1016.8,706.6,258.0,10,674,198.5,12,0,4,7.1,764
Tom Cleverley,1,5,113,3748,73,902.9000000000001,587.4,217.0,3,594,170.8,9,1,5,0.5,543
Tom Davies,4,5,129,3436,41,453.29999999999995,501.8,426.0,3,471,136.7,14,0,11,2.6999999999999997,668
Tom Heaton,0,0,157,3455,52,30.3,1055.0,0.0,21,789,108.5,10,0,1,20.3,128
Tom Huddlestone,1,2,62,2025,47,300.3,344.4,130.0,5,348,77.6,4,1,5,0.2,160
Tom Ince,2,1,82,2450,39,331.3,253.0,794.0,3,269,138.0,7,0,0,0.4,182
Tomer Hemed,2,2,43,842,8,66.1,152.0,227.0,5,110,44.2,3,0,0,1.0,72
Tommie Hoban,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,480
Tommy Smith,0,1,50,1902,31,251.6,322.0,50.0,2,311,62.8,5,0,7,0.2,166
Trent Alexander-Arnold,1,2,91,1740,19,419.4,390.59999999999997,190.0,10,417,100.19999999999999,8,0,3,5.5,746
Trevoh Chalobah,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,632
Troy Deeney,15,6,203,4780,82,905.3,960.4,1466.0,25,682,332.1,12,1,8,5.6,842
Tyias Browning,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,2.0,130
Tyrese Campbell,0,0,4,75,2,2.6,13.0,28.0,0,11,4.4,0,0,0,0.5,628
Tyrone Mings,0,0,7,707,21,33.1,172.0,55.0,2,129,26.099999999999998,0,0,1,0.2,71
Uwe Hünemeier,0,0,1,17,1,0.3,7.0,2.0,0,5,0.9,0,0,0,5.6,57
Valon Behrami,0,0,48,2030,39,101.9,208.2,24.0,0,258,33.6,5,0,7,0.30000000000000004,830
Vicente Iborra,3,0,58,1411,23,131.6,341.6,150.0,6,293,62.3,3,0,0,0.1,208
Victor Anichebe,3,1,48,1219,21,195.3,210.4,505.0,5,166,90.4,3,0,2,2.2,575
Victor Lindelöf,0,0,47,1284,14,37.7,272.8,8.0,1,297,32.0,5,0,1,1.3,273
Victor Moses,6,9,236,4594,35,814.3,945.6,1165.0,15,962,292.6,28,0,7,5.1,194
Victor Wanyama,5,2,135,3849,36,582.8,815.6,557.0,8,752,195.5,14,0,12,3.1999999999999997,789
Viktor Fischer,0,3,25,438,6,121.7,82.6,165.0,0,91,37.0,1,0,0,0.2,289
Vincent Janssen,2,3,56,846,8,241.3,158.0,501.0,3,136,89.4,3,0,0,0.9,800
Vincent Kompany,4,1,117,2214,17,109.4,648.6,239.0,8,553,99.80000000000001,11,0,11,6.1,466
Virgil van Dijk,1,0,153,4105,51,203.7,1147.2,509.0,19,916,186.2,15,1,4,12.6,614
Vito Mannone,0,0,34,810,19,0.0,247.0,0.0,6,187,24.8,2,0,0,0.6,339
Víctor Valdés,0,0,102,2520,36,0.3,607.6,2.0,10,493,61.0,8,0,1,4.3,274
Wahbi Khazri,1,0,31,849,21,332.2,112.2,203.0,3,96,64.9,1,0,6,0.1,352
Wayne Hennessey,0,0,191,5040,87,41.1,1204.1999999999998,0.0,15,1003,124.6,14,0,2,6.2,215
Wayne Rooney,15,8,189,3805,49,1167.5,979.2,1083.0,29,802,322.6,13,0,13,11.700000000000001,430
Wayne Routledge,3,2,91,2337,53,524.2,329.8,431.0,2,285,128.1,6,0,2,0.4,729
Wes Morgan,1,1,124,5247,97,110.4,1010.0,442.0,1,750,156.5,10,0,7,13.200000000000001,358
Wesley Hoedt,0,2,74,2520,42,130.9,661.6,146.0,11,532,93.8,5,0,7,0.1,525
Wilfred Ndidi,2,7,137,4417,73,324.5,954.0,656.0,6,737,193.60000000000002,13,2,6,1.1,834
Wilfried Bony,4,1,62,1385,20,187.5,222.0,482.0,6,195,88.3,5,0,3,0.7,782
Wilfried Zaha,16,18,285,5568,87,1323.3,1408.4,1990.0,21,885,472.2,17,0,13,22.5,237
Will Hughes,2,3,53,987,16,267.0,238.6,136.0,5,190,64.3,4,0,0,0.3,416
Will Keane,0,0,8,280,10,50.1,2.8,39.0,0,9,8.3,1,0,0,0.2,557
Willian Borges Da Silva,14,11,244,3408,38,1700.9,1131.4,1237.0,26,963,406.6,15,0,4,16.1,192
Willy Caballero,0,0,75,1722,17,0.0,321.8,0.0,1,349,32.3,7,0,0,3.9,315
Winston Reid,2,3,144,4039,75,153.2,1116.0,205.0,19,886,147.6,14,1,13,3.0,895
Xherdan Shaqiri,12,11,235,4738,79,1824.5,1011.6,1129.0,27,829,396.79999999999995,14,0,7,11.6,675
Yannick Bolasie,2,5,80,1896,28,435.7,336.6,456.0,3,252,122.6,6,0,3,1.9,256
Yaya Sanogo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,27
Yoan Gouffran,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,297
Yohan Benalouane,0,0,28,1007,17,23.3,183.0,72.0,0,163,28.0,4,0,4,1.1,369
Yohan Cabaye,4,8,164,4499,77,1322.0,858.5999999999999,826.0,9,826,300.3,15,0,14,1.3,247
Younes Kaboul,2,0,64,2061,39,32.4,490.59999999999997,245.0,1,377,76.8,5,0,2,0.7,739
Zachary Dearnley,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,673
Zlatan Ibrahimovic,17,7,168,2540,24,818.5,822.5999999999999,1762.0,28,558,339.90000000000003,11,0,7,23.0,795
Álvaro Arbeloa,0,0,0,258,9,32.5,37.0,3.0,0,34,7.3,0,0,3,0.1,568
Álvaro Morata,11,6,122,2055,19,478.9,620.6,1192.0,13,356,228.8,11,0,7,7.6,472
Álvaro Negredo,9,5,130,2872,45,454.9,542.4,1078.0,17,436,207.1,10,0,5,10.9,478
